name;startDate;endDate;votes
«Миллион деревьев» от «Активного гражданина»;28.04.2016;29.05.2016;193308
Имя для нового поезда метро;31.05.2016;3.07.2016;220281
«Моя улица» в ЦАО: новый облик Тверской улицы;10.03.2016;16.03.2016;142506
«Моя улица» в ЦАО: новый облик Таганской улицы;10.03.2016;16.03.2016;142506
«Моя улица» в ЦАО: новый облик Садового кольца;11.03.2016;16.03.2016;134441
«Моя улица» в ЦАО: новый облик Нового Арбата;10.03.2016;16.03.2016;142506
«Моя улица» в ЦАО: новый облик Малой Дмитровки и Настасьинского переулка;10.03.2016;16.03.2016;142506
«Моя улица» в ЦАО: новый облик Вознесенского, Газетного и Никитского переулков;10.03.2016;16.03.2016;142506
«Моя улица» в ЦАО: новый облик Воздвиженки, Знаменки, Староваганьковского и Крестовоздвиженского переулков;10.03.2016;16.03.2016;142506
«Моя улица» в ЦАО: новый облик Бульварного кольца;11.03.2016;16.03.2016;133381
Новые площадки на фестивале славянского искусства «Русское поле»;14.04.2016;5.05.2016;195172
Парки ЗАО – отдых по решению москвичей (ул. Нежинская, д. 13, корп. 2);31.05.2016;3.07.2016;18777
Парки ЗАО – отдых по решению москвичей (Парковая зона в пределах: Сколковское шоссе – Вяземская улица – Беловежская улица);31.05.2016;3.07.2016;18777
Парки ЗАО – отдых по решению москвичей («Аллея Анны Герман»);31.05.2016;3.07.2016;18777
Как провести «Ночь кино»;16.06.2016;7.07.2016;190635
Как провести «Ночь кино»;16.06.2016;7.07.2016;190635
Фотоконкурс «Планета Москва»: выбор активных граждан;9.08.2016;21.08.2016;162088
Новый центр госуслуг «Мои документы» в Троицке;6.07.2015;27.07.2015;763
Новый центр госуслуг «Мои документы» в районе Сокольники;6.07.2015;27.07.2015;24593
Новый центр госуслуг «Мои документы» в районе Дорогомилово;6.07.2015;27.07.2015;21196
Новый центр госуслуг «Мои документы» в Головинском районе;24.09.2015;18.10.2015;23165
«Народный выбор» от «Активного гражданина»;28.06.2016;24.07.2016;192347
«Миллион деревьев» от «Активного гражданина»;23.03.2015;20.04.2015;193308
Программа фестиваля «Московское варенье»;9.06.2016;30.06.2016;193351
Программа фестиваля «Московское варенье»;9.06.2016;30.06.2016;193351
Что украсит освобождённые территории у станции метро «Марьино» (ул. Люблинская, д. 169)? Часть 3;2.03.2016;15.03.2016;175445
«Моя библиотека»: режим и правила работы;11.01.2016;21.01.2016;211668
«Моя библиотека»: обслуживание и сервис;11.01.2016;21.01.2016;240622
Госуслуги не выходя из дома;11.02.2016;11.03.2016;215567
День города в Москве - когда проводить?;29.06.2016;4.07.2016;139032
Танцующий город: уроки на открытом воздухе;16.02.2016;8.03.2016;204745
Благоустройство улиц у Новодевичьего монастыря: оценка москвичей;19.11.2015;17.12.2015;253602
Новое в парке Олимпийской деревни;14.04.2015;4.05.2015;24038
Вакцинация домашних животных от бешенства;29.01.2016;29.02.2016;195680
Экскурсионная программа «Дома на Брестской»;22.03.2016;19.04.2016;213001
Экологический вернисаж;18.05.2015;8.06.2015;272158
Что украсит освобождённые территории у станции метро «Водный стадион» (ул. Адмирала Макарова, д. 45, стр. 3)? Часть 3;2.03.2016;15.03.2016;176631
Фитнес на городских улицах;14.04.2016;5.05.2016;178026
Танцующий город: уроки на открытом воздухе;16.02.2016;8.03.2016;204745
Танцующий город: уроки на открытом воздухе;16.02.2016;8.03.2016;204745
Танцующий город: уроки на открытом воздухе;16.02.2016;8.03.2016;204745
Йога в Екатерининском парке;29.04.2016;22.05.2016;12730
Кто споет на главном выпускном страны?;18.02.2016;20.03.2016;6225
Лучший врач-терапевт Москвы;24.04.2016;5.06.2016;232062
Лучший врач-педиатр Москвы;26.04.2016;5.06.2016;46718
Лучшая детская медсестра Москвы;26.04.2016;5.06.2016;46718
Капремонт: информация для собственников;7.04.2016;28.04.2016;195591
Новый центр госуслуг «Мои документы» в районе Ясенево;6.07.2015;27.07.2015;22746
Московской молодежи — свой центр занятости;18.01.2016;18.02.2016;230395
Московская поликлиника: как сократить очереди?;24.03.2015;20.04.2015;278544
Новые экскурсии в Дни исторического и культурного наследия;24.03.2016;7.04.2016;186788
Wi-Fi В Московском метрополитене;8.04.2016;3.05.2016;214455
Музыканты на улицах Москвы;6.06.2014;13.06.2014;49017
Как провести «Ночь в музее»;13.04.2016;3.05.2016;197250
Лучший монумент Москвы - 2015;29.03.2016;26.04.2016;215435
«Миллион деревьев» от «Активного гражданина»;14.09.2015;13.10.2015;70%
Москвичи для москвичей: улучшаем работу МФЦ (часть 2);29.07.2014;13.08.2014;112247
Движение на участке набережной Тараса Шевченко;26.02.2016;20.03.2016;19110
«Моя библиотека»: режим и правила работы;22.12.2015;21.01.2016;211668
Лучшая детская медсестра Москвы;26.04.2016;5.06.2016;46718
«Моя библиотека»: дополнительные услуги;16.01.2015;21.01.2016;229158
«Моя библиотека»: дополнительные услуги;16.01.2015;21.01.2016;229158
Электрички выходят в сеть;29.04.2015;20.05.2015;260247
«Миллион деревьев» от «Активного гражданина»;14.09.2015;13.10.2015;70%
«Моя библиотека»: обслуживание и сервис;11.12.15-21.01.2016;;240622
Образование и досуг в природных парках;9.11.2015;30.11.2015;232030
Магазины-роботы на столичных улицах;26.01.2015;3.02.2015;192249
Новый адрес для центра госуслуг района Южное Бутово;6.07.2015;27.07.2015;24273
Новый центр госуслуг «Мои документы» в районе Зябликово;6.07.2015;27.07.2015;27519
Москвичи голосуют за режим работы ярмарок выходного дня;9.02.2016;1.03.2016;208756
Первая велополоса столицы;11.09.2015;4.10.2015;250775
Парки столицы — отдых по решению москвичей;29.10.2015;8.11.2015;181453
Новый центр госуслуг «Мои документы» в Тверском;6.07.2015;27.07.2015;13304
Новый сезон программы «Моя улица»;27.10.2015;8.11.2015;199161
Новый краудсорсинг-проект «Детские поликлиники»;19.01.2016;24.01.2016;121774
Новый центр госуслуг «Мои документы» в Донском районе;6.07.2015;27.07.2015;27570
Новый адрес для центра госуслуг района Некрасовка;19.10.2015;8.11.2015;24096
Всей семьей за здоровьем;28.12.2015;10.01.2016;143330
Электрички выходят в сеть;29.04.2015;20.05.2015;260247
Спецсчёт для вашего дома. Кому поможет город?;19.10.2015;8.11.2015;243613
«Автокод» — помощник московских автомобилистов;11.03.2015;20.04.2015;303735
Новый центр госуслуг «Мои документы» в районе Якиманка;6.07.2015;27.07.2015;13238
Новый центр госуслуг «Мои документы» в районе Митино;6.07.2015;27.07.2015;16750
Экологический лекторий;20.05.2015;11.06.2015;272438
Повышение квалификации медицинских работников;12.10.2016;09.01.2017;10518
Новое в работе московских кинотеатров. Кинотеатр «Звезда»;10.08.2017;03.09.2017;197752
Новое в работе московских кинотеатров. Кинотеатр «Сатурн»;10.08.2017;03.09.2017;197752
Новое в работе московских кинотеатров. Кинотеатр «Космос»;10.08.2017;03.09.2017;197752
Новое в работе московских кинотеатров. Кинотеатр «Полет»;10.08.2017;03.09.2017;197752
Новое в работе московских кинотеатров. Кинотеатр «Молодежный»;10.08.2017;03.09.2017;197752
Новое в работе московских кинотеатров. Кинотеатр «Искра»;10.08.2017;03.09.2017;197752
Новое в работе московских кинотеатров. Кинотеатр «Вымпел»;10.08.2017;03.09.2017;197752
Новое в работе московских кинотеатров. Кинотеатр «Березка»;10.08.2017;03.09.2017;197752
Новое в работе московских кинотеатров. Кинотеатр «Юность»;10.08.2017;03.09.2017;197752
Новое в работе московских кинотеатров. Кинотеатр «Факел»;10.08.2017;03.09.2017;197752
Новое в работе московских кинотеатров. Кинотеатр «Тула»;10.08.2017;03.09.2017;197752
Новое в работе московских кинотеатров. Кинотеатр «Спутник»;10.08.2017;03.09.2017;197752
Новое в работе московских кинотеатров. Кинотеатр «Салют»;10.08.2017;03.09.2017;197752
Символ Москвы на «Аллее России» в Севастополе;15.07.2014;31.10.2014;367511
Диспансеризация населения;13.07.2016;31.08.2016;218889
Детские поликлиники: доступность и качество услуг;18.04.2016;05.05.2016;205556
Благоустройство парка на Ходынском поле;10.03.2017;26.03.2017.;18204
«Миллион деревьев» от «Активного гражданина»;11.05.2017;26.06.2017.;283137
Премия «Путеводная звезда — 2017»;14.11.2017;05.12.2017;177631
«Моя библиотека»: обслуживание и сервис;11.12.2015;21.01.2016;240622
Лучшая реставрация московской усадьбы;02.11.2017;26.11.2017;186732
Благоустройство парка «Грачевка»;06.03.2017;20.03.2017.;17575
Новый городской парк в Братеевской пойме;28.02.2017;19.03.2017.;194828
Новые программы на «Московском образовательном»;07.09.2017;15.10.2017;217104
Московский портал госуслуг: сервис «Запись в школу»;11.11.2016;08.01.2017;222084
Что украсит освобождённые территории у станций метро? Часть 1;24.02.2016;13.03.2016;198088
Что украсит освобождённые территории у станций метро? Часть 2;29.02.2016;13.03.2016;176631
Лучший книжный магазин Москвы;31.10.2017;20.11.2017.;185
Дизайн новых станций метро «Новопеределкино» и «Солнцево»;23.10.2014;12.11.2014.;296572
Парки ЮВАО — отдых по решению москвичей;26.10.2015;06.11.2015.;22643
Благоустройство парка «Левобережный»;02.03.2017;19.03.2017;194582
Как будет выглядеть знак «Московский врач»?;17.08.2017;;156247
Парки ВАО – отдых по решению москвичей;17.05.2016;19.06.2016.;10235
Курсы в «Школе юного программиста»;20.07.2017;30.08.2017;214312
«Миллион деревьев» от «Активного гражданина»;два;;240863
«Моя библиотека»: комфортность пребывания;24.12.2015;21.01.2016;204911
Парки Новой Москвы — отдых по решению москвичей;29.10.2015;06.11.2015.;3019
Новый сезон программы «Моя улица» (часть 1);09.03.2017;19.03.2017.;175817
Новый сезон программы «Моя улица» (часть 1);09.03.2017;19.03.2017.;175817
Новый сезон программы «Моя улица» (часть 1);09.03.2017;19.03.2017.;175817
Новый сезон программы «Моя улица» (часть 1);09.03.2017;19.03.2017.;175817
Парки Новой Москвы — отдых по решению москвичей;29.10.2015;06.11.2015.;3019
Экологические лекции для школьников в природном заказнике «Долина реки Сетуни»;27.09.2017;11.10.2017.;17097
Благоустройство усадьбы «Михалково»;01.03.17;19.03.2017;195833
Парки ЮВАО — отдых по решению москвичей;29.10.15;06.11.2015;22643
Московский портал госуслуг: сервис «Результаты Олимпиады»;24.11.2016;16.01.2017;217382
Выездные мероприятия Центра занятости молодежи;15.12.2016;22.01.2017;295542
Что украсит освобожденные территории у станции метро «Октябрьское поле»?;02.03.2016;15.03.2016.;175445
Что украсит освобожденные территории у станции метро «Речной вокзал»?;29.02.2016;13.03.2016.;176631
Чем заняться после уроков? Кружки и секции в школе;02.05.2017;10.07.2017;288930
Что украсит освобожденные площадки в ВАО?;22.03.2017;12.04.2017.;24784
Что украсит освобожденные площадки в ЮВАО?;24.03.2017;14.04.2017.;24573
Новое в работе Центра занятости молодежи;18.04.2017-18.05.2017;;231641
Пассажирская инфраструктура МЦК;10.05.16;01.06.16;219524
Москва для велосипедистов;18.06.14;26.06.14;80%
Экскурсии во Дворце пионеров на Воробьевых горах;22.02.2017;22.03.2017;214910
Парки ЮАО — отдых по решению москвичей;29.10.2015;06.11.2015.;25165
Твой газон — твои правила!;13.06.2017;11.09.2017.;227200
2-я улица Синичкина: нужно ли вводить одностороннее движение?;19.06.17;10.07.17;25206
Лучший участковый врач-терапевт, Лучший участковый врач-педиатр, Лучшая участковая детская медсестра;28.03.2017;04.06.2017.;260
Профессиональное обучение без границ;21.06.2016;09.10.2016;235155
Как будет выглядеть знак «Московский врач»?;17.08.2017;28.08.2017;156247
Новые экскурсии на Московском ипподроме;05.05.2016;26.05.2016;207647
Пассажирская инфраструктура МКЖД;10.05.16;01.06.2016;219524
Фрагмент стены на Хохловской площади: музеефицировать или закопать?;12.04.2016-02.05.2016;;197113
Московский портал госуслуг для родителей: сервис «Посещение и питание»;18.10.16;04.12.16;227687
Благоустройство площади Юности в Зеленограде;06.03.2017;20.03.2017.;1868
Темы программ на «Московском образовательном»;24.04.2017;25.05.2017;240289
Новые возможности карты «Тройка»;20.04.2015;12.05.2015;252661
Музыка в метро;8.11.2016;4.12.2016;214002
«Народный выбор» от «Активного гражданина»;27.06.2017;27.08.2017;233302
Московский портал госуслуг: сервис «Запись в кружки, спортивные секции, дома творчества»;10.11.2016;26.12.2016;220990
Вывески Москвы: перезагрузка;14.04.2015;06.05.2015.;263659
Летний отдых по программе «Московская смена»;30.05.2017;20.06.2017;221783
Онлайн-сервис по самоподготовке «Мои достижения»;20.12.2016;15.02.2017;221744
«ЕГЭ на 100»: конкурс на лучший совет по подготовке к экзамену;01.06.2017;20.06.2017;206165
Экскурсии в экоцентре «Конный двор»;14.06.2017;05.07.2017;26625
Парки ЮЗАО – отдых по решению москвичей;29.10.2015;06.11.2015;21218
Новые методики оказания социальной помощи;02.08.2016;25.09.2016;231551
Темы программ на «Московском образовательном»;24.04.17;25.05.17;240289
«Автокод» — помощник московских автомобилистов;11.03.2015;20.04.2015;303735
Пассажирская инфраструктура МЦК;10.05.2016;1.06.2016;219524
Госуслуги не выходя из дома;11.02.2016;11.03.2016;215567
«Моя библиотека»: обслуживание и сервис;11.12.15-21.01.2016;;240622
«Моя библиотека»: комфортность пребывания;16.12.15-21.01.2016;;229209
Спасение Шуховской башни;21.06.2014;07.07.2014;77719
Тренинги для москвичек в «Женском деловом Центре»;12.04.2017;10.05.2017;127483
Кинопремия «За создание образа Москвы в киноискусстве»;10.05.2017;28.05.2017;221807
Что украсит освобождённые территории у станции метро «Новослободская»?;24.02.2016;13.03.2016;198088
Спецсчёт для вашего дома. Кому поможет город?;6.07.2016;31.08.2016;147553
Лучший монумент Москвы;21.03.2017;16.04.2017;213649
Логотип Общественного совета при Департаменте образования города Москвы;6.06.2017;18.06.2017;181069
Кто споет на главном выпускном страны?;21.02.2017;21.03.2017;627
Парки ВАО – отдых по решению москвичей (парк на пересечении Кусковской и Перовской улиц);17.05.2016;19.06.2016;26373
Лучший врач-терапевт – 2016;28.03.2017;4.06.2017;265899
Лучший врач-педиатр – 2016
		2;31.03.2017;4.06.2017;272770
Лучшая детская медицинская сестра – 2016;5.04.2017;4.06.2017;261798
Активный отдых в природных парках;07.05.2014;30.05.2014;49345
Эмблема Центра занятости молодежи;22.12.2016;05.02.2017;210428
Выездные мероприятия Центра занятости молодежи;15.12.2016;22.01.2017;200767
Дополнительный офис центра госуслуг «Мои документы» Пресненского района;30.11.2015;14.12.2015;12584
Московский портал госуслуг: сервис «Результаты ГИА и итогового сочинения (изложения)»;22.11.2016;8.01.2017;215383
Новые экскурсии в Дни исторического и культурного наследия;19.01.2017;19.02.2017;208603
Логотип парка «Зарядье»;14.03.2017;4.04.2017;210186
День Победы в парках столицы;14.02.2017;14.03.2017;213448
Открытие летнего сезона в парках;9.02.2017;12.03.2017;220491
Москва для велосипедистов;18.06.2014;26.06.2014;52900
Новый адрес для центра госуслуг «Мои документы» района Крылатское;25.06.2015;27.07.2015;24224
«Моя библиотека»: комфортность пребывания;24.12.15;21.01.2016;204917
Утилизация старой бытовой техники;26.02.2016;27.03.2016;20898
Экологическая акция «Разделяй и используй!»;31.08.2016;9.10.2016;225749
«Миллион деревьев» от «Активного гражданина»;14.10.2016;14.12.2016;240863
Имя для нового поезда метро;31.05.2016;3.07.2016;220281
ВДНХ: решаем вместе;05.06.2014;26.06.2014;135342
Новый сезон в природных парках столицы (природно-исторический парк «Царицыно»);12.01.2017;12.02.2017;205383
Новый сезон в природных парках столицы (парки «Теплый Стан» и «Тропаревский»);12.01.2017;12.02.2017;205383
Новый сезон в природных парках столицы (природно-исторический парк «Измайлово»);12.01.2017;12.02.2017;205383
Новый сезон в природных парках столицы (парк «Долгие пруды»);12.01.2017;12.02.2017;205383
Новый сезон в природных парках столицы (экоцентр «Воробьевы горы»);12.01.2017;12.02.2017;205383
Цвет трибун стадиона «Лужники»;6.08.2014;22.08.2014;137228
Экскурсионная программа «Дома на Брестской»;1.12.2016;17.01.2017;207388
Зимние развлечения парке «Красная Пресня»;25.10.2016;20.11.2016;203597
Зимние развлечения в Таганском парке;25.10.2016;20.11.2016;203597
Зимние развлечения в саду им. Баумана;25.10.2016;20.11.2016;203597
Зимние развлечения в саду «Эрмитаж»;25.10.2016;20.11.2016;203597
Зимние развлечения в Парке Горького;25.10.2016;20.11.2016;203597
Детские поликлиники: доступность и качество услуг;19.04.2016;15.05.2016;205576
Штрафы за «зацепинг»;20.02.2017;12.03.2017;205983
Музыка в метро;8.11.2016;4.12.2016;214002
Проект «Интенсив 20». С искусством по пути!;23.03.2017;16.04.2017.;206644
Электронная карта школьника;17.11.2014;8.12.2014;284352
Московская лыжня 2017;1.11.2016;30.11.2016;212572
Зимние развлечения парке «Сокольники»;25.10.2016;20.11.2016;203597
Зимние развлечения в Перовском парке;25.10.2016;20.11.2016;203597
Зимние развлечения в Измайловском парке;25.10.2016;20.11.2016;203597
Музыка в метро;8.11.2016;4.12.2016;214002
Детские поликлиники: информирование пациентов;21.04.2016;15.05.2016;197241
Московской молодежи — свой центр занятости;18.01.2016;18.02.2016;230395
«Моя библиотека»: режим и правила работы;12.12.2015;21.01.2016;229209
Программа фестиваля Путешествие в Рождество;13.10.2016;6.11.2016;200717
Экскурсионная программа «Дома на Брестской»;1.12.2016;17.01.2017;207388
Зимние развлечения в парке «Садовники»;25.10.2016;20.11.2016;203597
Зимние развлечения в парке «Кузьминки»;25.10.2016;20.11.2016;203597
Зимние развлечения в Лианозовском парке;25.10.2016;20.11.2016;203597
Зимние развлечения в Гончаровском парке;25.10.2016;20.11.2016;203597
Электрички выходят в сеть;29.04.2015;20.05.2015;260247
Москва космическая и авиационная – новый музей на ВДНХ;19.03.2015;20.04.2015;288698
Курсы по предпринимательству в «Женском деловом центре»;25.07.2017;28.08.2017;206093
Названия линий московского метро на схемах и в объявлениях;15.02.2018;18.03.2018;203781
Парки ЮАО — отдых по решению москвичей;29.10.2015;06.11.2015;25165
Новый адрес для центра «Мои документы» района Котловка;23.09.2016;23.10.2016;21358
Новый адрес для центра «Мои документы» Дмитровского района;23.09.2016;23.10.2016;19784
«Моя библиотека»: комфортность пребывания;16.12.15;21.01.2016;229209
Госуслуги не выходя из дома;11.02.2016;11.03.2016;215567
Какими должны быть фасады павильонов № 14 и № 15 на ВДНХ?;08.08.2014;22.08.2014;127158
Новые устройства для системы «Посещение и питание»;06.12.2016;13.02.2017;231592
Зимние развлечения в парке «Фили»;05.10.2017;06.11.2017;207904
Зимние развлечения в Бабушкинском парке;05.10.2017;06.11.2017;207904
Зимние развлечения в Воронцовском парке;05.10.2017;06.11.2017;207904
Консультации в «Женском деловом центре»;25.10.2017;26.11.2017;110788
Зимние развлечения в Саду им. Баумана;05.10.2017;06.11.2017;207904
Зимние развлечения в Лианозовском парке;05.10.2017;06.11.2017;207904
Зимние развлечения в саду «Эрмитаж»;05.10.2017;06.11.2017;207904
Зимние развлечения в Перовском парке;05.10.2017;06.11.2017;207904
Зимние развлечения в парке «Сокольники»;05.10.2017;06.11.2017;207904
Выбор тем для зимних экскурсий в Битцевском лесу;21.12.2017;21.01.2018;185976
Семейные старты;12.10.2017;12.11.2017;186442
«Моя библиотека»: обслуживание и сервис;11.12.2015;21.01.2016;240622
Как назвать Третий пересадочный контур московского метро? Второй тур;14.12.2017;27.12.2017;165670
Упакуй «Москву»! Как будет выглядеть коробка фирменных городских конфет;27.07.2017;05.08.2017;165702
Московский портал госуслуг: сервис «Запись в кружки, спортивные секции, дома творчества»;10.11.16;26.12.16;220990
Дизайн вестибюля станции метро «Китай-город»;29.01.2015;19.02.2015;254655
Благоустройство зоны отдыха «Мещерское»;07.03.2017;21.03.2017;185386
Вывески Москвы: перезагрузка;14.04.2015;06.05.2015;263659
Подарок за квест на «Московских сезонах»;16.03.2017;16.04.2017;216657
Парки САО – отдых по решению москвичей (сквер «Арбатец»);17.05.2016;19.06.2016;21388
Программа фестиваля Путешествие в Рождество;26.10.2017;16.11.2017;185416
Просто о сложном: темы для родительского лектория;07.12.2017;29.01.2018;204788
Тренинги для москвичек в «Женском деловом Центре»;12.04.2017;10.05.2017;127483
Флагманские центры «Мои документы»;05.04.2016;26.04.2016;195428
Станции–памятники московского метро;27.04.2017;04.06.2017;266095
